2026-07-29T12:06:45.127Z | risk-detector | notify | current-pin.txt → 깃발 harness(사용자-통제)
2026-07-29T12:24:04.535Z | circuit-breaker | notify | Edit 10회/5분 (임계 10)
2026-07-29T12:24:05.029Z | supervisor-guard | open-gate | Edit 통과 (flag age 4m)
2026-07-29T12:24:05.126Z | risk-detector | notify | _escalation.md → 깃발 harness(사용자-통제)
2026-07-29T12:24:07.604Z | circuit-breaker | notify | Edit 11회/5분 (임계 10)
2026-07-29T12:24:08.153Z | supervisor-guard | open-gate | Edit 통과 (flag age 4m)
2026-07-29T12:24:08.303Z | risk-detector | notify | _escalation.md → 깃발 harness(사용자-통제)
2026-07-29T12:24:12.097Z | circuit-breaker | notify | Edit 12회/5분 (임계 10)
2026-07-29T12:24:24.037Z | supervisor-guard | open-gate | Edit 통과 (flag age 5m)
2026-07-29T12:24:24.161Z | risk-detector | notify | _routing.md → 깃발 harness(사용자-통제)
2026-07-29T12:24:26.848Z | circuit-breaker | notify | Edit 13회/5분 (임계 10)
2026-07-29T12:24:27.310Z | supervisor-guard | open-gate | Edit 통과 (flag age 5m)
2026-07-29T12:24:27.425Z | risk-detector | notify | grade-and-risk.md → 깃발 harness(사용자-통제)
2026-07-29T12:24:30.035Z | circuit-breaker | notify | Edit 14회/5분 (임계 10)
2026-07-29T12:24:30.465Z | supervisor-guard | open-gate | Edit 통과 (flag age 5m)
2026-07-29T12:24:30.616Z | risk-detector | notify | grade-and-risk.md → 깃발 harness(사용자-통제)
2026-07-29T12:24:33.046Z | circuit-breaker | notify | Edit 15회/5분 (임계 10)
2026-07-29T12:24:33.499Z | supervisor-guard | open-gate | Edit 통과 (flag age 5m)
2026-07-29T12:24:33.611Z | risk-detector | notify | subagent-routing.md → 깃발 harness(사용자-통제)
2026-07-29T12:24:37.449Z | circuit-breaker | notify | Edit 16회/5분 (임계 10)
2026-07-29T12:24:37.939Z | supervisor-guard | open-gate | Edit 통과 (flag age 5m)
2026-07-29T12:24:38.034Z | risk-detector | notify | subagent-routing.md → 깃발 harness(사용자-통제)
2026-07-29T12:24:40.461Z | circuit-breaker | notify | Edit 17회/5분 (임계 10)
2026-07-29T12:24:40.905Z | supervisor-guard | open-gate | Edit 통과 (flag age 5m)
2026-07-29T12:24:41.023Z | risk-detector | notify | execution-owner.md → 깃발 harness(사용자-통제)
2026-07-29T12:24:43.419Z | circuit-breaker | notify | Edit 18회/5분 (임계 10)
2026-07-29T12:24:43.893Z | supervisor-guard | open-gate | Edit 통과 (flag age 5m)
2026-07-29T12:24:44.041Z | risk-detector | notify | main-process.md → 깃발 harness(사용자-통제)
2026-07-29T12:24:46.391Z | circuit-breaker | notify | Edit 19회/5분 (임계 10)
2026-07-29T12:24:46.865Z | supervisor-guard | open-gate | Edit 통과 (flag age 5m)
2026-07-29T12:24:46.964Z | risk-detector | notify | renderer.md → 깃발 harness(사용자-통제)
2026-07-29T12:24:50.974Z | circuit-breaker | notify | Edit 20회/5분 (임계 10)
2026-07-29T12:25:54.168Z | supervisor-guard | open-gate | Edit 통과 (flag age 6m)
2026-07-29T12:25:55.236Z | circuit-breaker | notify | Edit 19회/5분 (임계 10)
2026-07-29T12:25:55.681Z | supervisor-guard | open-gate | Bash 통과 (flag age 6m)
2026-07-29T12:26:14.303Z | supervisor-guard | open-gate | Bash 통과 (flag age 7m)
2026-07-29T12:26:21.320Z | supervisor-guard | open-gate | Bash 통과 (flag age 7m)
2026-07-29T12:26:27.622Z | supervisor-guard | open-gate | Bash 통과 (flag age 7m)
2026-07-29T12:26:33.735Z | supervisor-guard | open-gate | Bash 통과 (flag age 7m)
2026-07-29T12:28:25.962Z | supervisor-guard | open-gate | Write 통과 (flag age 9m)
2026-07-29T12:28:26.104Z | risk-detector | notify | current-pin.txt → 깃발 harness(사용자-통제)
2026-07-29T12:28:34.499Z | supervisor-guard | open-gate | Bash 통과 (flag age 9m)
2026-07-29T12:28:57.335Z | supervisor-guard | open-gate | Bash 통과 (flag age 9m)
2026-07-29T12:29:05.187Z | supervisor-guard | open-gate | Bash 통과 (flag age 9m)
2026-07-29T12:40:58.141Z | supervisor-guard | open-gate | Bash 통과 (flag age 3m)
2026-07-29T12:41:47.243Z | supervisor-guard | open-gate | Edit 통과 (flag age 4m)
2026-07-29T12:41:47.392Z | risk-detector | notify | hook-exit.test.mjs → 깃발 harness(사용자-통제)
2026-07-29T12:43:51.344Z | supervisor-guard | open-gate | Edit 통과 (flag age 6m)
2026-07-29T12:43:51.493Z | risk-detector | notify | guard-log.test.mjs → 깃발 harness(사용자-통제)
2026-07-29T12:46:20.085Z | supervisor-guard | open-gate | Edit 통과 (flag age 9m)
2026-07-29T12:46:49.806Z | supervisor-guard | open-gate | Edit 통과 (flag age 9m)
2026-07-29T12:46:51.666Z | supervisor-guard | open-gate | Edit 통과 (flag age 9m)
2026-07-29T12:47:01.721Z | supervisor-guard | open-gate | Edit 통과 (flag age 9m)
2026-07-29T12:47:42.488Z | supervisor-guard | open-gate | Edit 통과 (flag age 10m)
2026-07-29T12:47:43.977Z | supervisor-guard | open-gate | Edit 통과 (flag age 10m)
2026-07-29T12:47:47.524Z | supervisor-guard | open-gate | Edit 통과 (flag age 10m)
2026-07-29T12:47:48.598Z | circuit-breaker | notify | 누적 체크포인트 main 100회/60분 (단위 100)
2026-07-29T12:48:07.020Z | supervisor-guard | open-gate | Edit 통과 (flag age 10m)
2026-07-29T12:49:27.080Z | supervisor-guard | open-gate | Edit 통과 (flag age 12m)
2026-07-29T12:49:27.207Z | risk-detector | notify | CLAUDE.md → 깃발 harness(사용자-통제)
2026-07-29T12:49:29.958Z | supervisor-guard | open-gate | Edit 통과 (flag age 12m)
2026-07-29T12:49:30.076Z | risk-detector | notify | work-judge.md → 깃발 harness(사용자-통제)
2026-07-29T12:50:45.538Z | supervisor-guard | open-gate | Edit 통과 (flag age 13m)
2026-07-29T12:50:45.689Z | risk-detector | notify | pr-and-merge-gate.md → 깃발 harness(사용자-통제)
2026-07-29T12:58:38.334Z | supervisor-guard | open-gate | Edit 통과 (flag age 21m)
2026-07-29T12:58:38.443Z | risk-detector | notify | hook-exit.test.mjs → 깃발 harness(사용자-통제)
2026-07-29T12:59:25.019Z | supervisor-guard | open-gate | Edit 통과 (flag age 22m)
2026-07-29T12:59:25.165Z | risk-detector | notify | guard-log.test.mjs → 깃발 harness(사용자-통제)
2026-07-29T13:00:22.255Z | supervisor-guard | open-gate | Bash 통과 (flag age 23m)
2026-07-29T13:00:57.488Z | supervisor-guard | open-gate | Bash 통과 (flag age 23m)
2026-07-29T13:02:04.960Z | supervisor-guard | open-gate | Write 통과 (flag age 24m)
2026-07-29T13:02:05.125Z | risk-detector | notify | ask-decision.mjs → 깃발 harness(사용자-통제)
2026-07-29T13:03:01.540Z | supervisor-guard | open-gate | Edit 통과 (flag age 25m)
2026-07-29T13:03:01.678Z | risk-detector | notify | guard-log.mjs → 깃발 harness(사용자-통제)
2026-07-29T13:03:23.899Z | supervisor-guard | open-gate | Write 통과 (flag age 26m)
2026-07-29T13:03:23.984Z | risk-detector | notify | ask-decision.mjs → 깃발 harness(사용자-통제)
2026-07-29T13:05:35.333Z | supervisor-guard | open-gate | Write 통과 (flag age 28m)
2026-07-29T13:05:35.475Z | risk-detector | notify | ask-decision.mjs → 깃발 harness(사용자-통제)
2026-07-29T13:06:00.035Z | supervisor-guard | open-gate | Edit 통과 (flag age 28m)
2026-07-29T13:06:00.159Z | risk-detector | notify | dangerous-cmd-guard.sh → 깃발 harness(사용자-통제)
2026-07-29T13:06:49.810Z | supervisor-guard | open-gate | Edit 통과 (flag age 29m)
2026-07-29T13:06:49.918Z | risk-detector | notify | dangerous-cmd-guard.sh → 깃발 harness(사용자-통제)
2026-07-29T13:07:09.686Z | supervisor-guard | open-gate | Edit 통과 (flag age 29m)
2026-07-29T13:07:09.820Z | risk-detector | notify | dangerous-cmd-guard.sh → 깃발 harness(사용자-통제)
2026-07-29T13:07:12.922Z | supervisor-guard | open-gate | Edit 통과 (flag age 29m)
2026-07-29T13:07:13.051Z | risk-detector | notify | dangerous-cmd-guard.sh → 깃발 harness(사용자-통제)
2026-07-29T13:07:15.050Z | supervisor-guard | open-gate | Edit 통과 (flag age 29m)
2026-07-29T13:07:15.162Z | risk-detector | notify | dangerous-cmd-guard.sh → 깃발 harness(사용자-통제)
2026-07-29T13:07:22.426Z | supervisor-guard | open-gate | Bash 통과 (flag age 30m)
2026-07-29T13:07:26.965Z | supervisor-guard | open-gate | Bash 통과 (flag age 30m)
2026-07-29T13:07:35.626Z | supervisor-guard | open-gate | Bash 통과 (flag age 30m)
2026-07-29T13:08:59.753Z | supervisor-guard | open-gate | Edit 통과 (flag age 31m)
2026-07-29T13:08:59.894Z | risk-detector | notify | work-judge.md → 깃발 harness(사용자-통제)
2026-07-29T13:10:42.031Z | supervisor-guard | open-gate | Edit 통과 (flag age 33m)
2026-07-29T13:10:42.236Z | risk-detector | notify | pr-and-merge-gate.md → 깃발 harness(사용자-통제)
2026-07-29T13:10:58.919Z | supervisor-guard | open-gate | Edit 통과 (flag age 33m)
2026-07-29T13:10:59.052Z | risk-detector | notify | pr-and-merge-gate.md → 깃발 harness(사용자-통제)
2026-07-29T13:11:09.641Z | supervisor-guard | open-gate | Edit 통과 (flag age 33m)
2026-07-29T13:11:09.764Z | risk-detector | notify | pr-and-merge-gate.md → 깃발 harness(사용자-통제)
2026-07-29T13:11:14.753Z | supervisor-guard | open-gate | Edit 통과 (flag age 33m)
2026-07-29T13:11:14.866Z | risk-detector | notify | pr-and-merge-gate.md → 깃발 harness(사용자-통제)
2026-07-29T13:11:17.493Z | circuit-breaker | notify | Edit 10회/5분 (임계 10)
2026-07-29T13:11:18.096Z | supervisor-guard | open-gate | Edit 통과 (flag age 34m)
2026-07-29T13:11:18.211Z | risk-detector | notify | end.md → 깃발 harness(사용자-통제)
2026-07-29T13:11:20.705Z | circuit-breaker | notify | Edit 11회/5분 (임계 10)
2026-07-29T13:11:21.225Z | supervisor-guard | open-gate | Edit 통과 (flag age 34m)
2026-07-29T13:11:21.357Z | risk-detector | notify | end.md → 깃발 harness(사용자-통제)
2026-07-29T13:11:23.369Z | circuit-breaker | notify | Edit 12회/5분 (임계 10)
2026-07-29T13:11:32.750Z | supervisor-guard | open-gate | Bash 통과 (flag age 34m)
2026-07-29T13:13:21.956Z | supervisor-guard | open-gate | Edit 통과 (flag age 36m)
2026-07-29T13:13:22.104Z | risk-detector | notify | shell-policy.mjs → 깃발 harness(사용자-통제)
2026-07-29T13:13:26.830Z | supervisor-guard | open-gate | Edit 통과 (flag age 36m)
2026-07-29T13:13:27.013Z | risk-detector | notify | CLAUDE.md → 깃발 harness(사용자-통제)
2026-07-29T13:13:52.331Z | supervisor-guard | open-gate | Edit 통과 (flag age 36m)
2026-07-29T13:13:52.447Z | risk-detector | notify | loop-driver.md → 깃발 harness(사용자-통제)
2026-07-29T13:13:54.614Z | circuit-breaker | notify | Edit 10회/5분 (임계 10)
2026-07-29T13:14:08.814Z | supervisor-guard | open-gate | Bash 통과 (flag age 36m)
2026-07-29T13:14:08.842Z | dangerous-cmd-guard | ask | 비가역 사람 게이트(CORE-06 v3) — git push (원격 이력 갱신 — 비가역)
2026-07-29T13:14:32.597Z | supervisor-guard | open-gate | Bash 통과 (flag age 37m)
2026-07-29T13:15:19.455Z | supervisor-guard | open-gate | Edit 통과 (flag age 38m)
2026-07-29T13:15:23.259Z | circuit-breaker | notify | Edit 11회/5분 (임계 10)
2026-07-29T13:15:30.252Z | supervisor-guard | open-gate | Edit 통과 (flag age 38m)
2026-07-29T13:15:33.252Z | circuit-breaker | notify | Edit 12회/5분 (임계 10)
2026-07-29T13:16:10.037Z | supervisor-guard | open-gate | Bash 통과 (flag age 38m)
2026-07-29T13:18:21.012Z | supervisor-guard | open-gate | Write 통과 (flag age 41m)
2026-07-29T13:18:21.149Z | risk-detector | notify | current-pin.txt → 깃발 harness(사용자-통제)
2026-07-29T13:20:26.036Z | supervisor-guard | open-gate | Bash 통과 (flag age 43m)
2026-07-29T13:20:38.413Z | supervisor-guard | open-gate | Bash 통과 (flag age 43m)
2026-07-29T13:20:46.690Z | supervisor-guard | open-gate | Bash 통과 (flag age 43m)
2026-07-29T13:20:46.710Z | dangerous-cmd-guard | ask | 비가역 사람 게이트(CORE-06 v3) — git push (원격 이력 갱신 — 비가역)
2026-07-29T13:21:14.467Z | supervisor-guard | open-gate | Bash 통과 (flag age 43m)
2026-07-29T13:21:14.482Z | dangerous-cmd-guard | ask | 비가역 사람 게이트(CORE-06 v3) — gh pr create (PR 생성 — 비가역)
2026-07-29T13:26:23.894Z | supervisor-guard | open-gate | Edit 통과 (flag age 49m)
2026-07-29T13:26:24.052Z | risk-detector | notify | SKILL.md → 깃발 harness(사용자-통제)
2026-07-29T13:26:27.936Z | supervisor-guard | open-gate | Edit 통과 (flag age 49m)
2026-07-29T13:26:29.568Z | supervisor-guard | open-gate | Edit 통과 (flag age 49m)
2026-07-29T13:26:29.687Z | risk-detector | notify | agent-backend.md → 깃발 harness(사용자-통제)
2026-07-29T13:26:49.723Z | supervisor-guard | open-gate | Edit 통과 (flag age 49m)
2026-07-29T13:26:49.856Z | risk-detector | notify | main-process.md → 깃발 harness(사용자-통제)
2026-07-29T13:26:53.239Z | supervisor-guard | open-gate | Edit 통과 (flag age 49m)
2026-07-29T13:26:53.348Z | risk-detector | notify | shared-ipc.md → 깃발 harness(사용자-통제)
2026-07-29T13:26:56.486Z | supervisor-guard | open-gate | Edit 통과 (flag age 49m)
2026-07-29T13:26:56.629Z | risk-detector | notify | shared-ipc.md → 깃발 harness(사용자-통제)
2026-07-29T13:26:59.806Z | supervisor-guard | open-gate | Edit 통과 (flag age 49m)
2026-07-29T13:26:59.937Z | risk-detector | notify | convention-size-guard.sh → 깃발 harness(사용자-통제)
2026-07-29T13:27:28.337Z | supervisor-guard | open-gate | Bash 통과 (flag age 50m)
2026-07-29T13:27:32.762Z | circuit-breaker | notify | 누적 체크포인트 main 100회/60분 (단위 100)
2026-07-29T13:27:43.598Z | supervisor-guard | open-gate | Bash 통과 (flag age 50m)
2026-07-29T13:29:16.136Z | supervisor-guard | open-gate | Edit 통과 (flag age 51m)
2026-07-29T13:29:33.429Z | supervisor-guard | open-gate | Edit 통과 (flag age 52m)
2026-07-29T13:29:33.608Z | risk-detector | notify | current-pin.txt → 깃발 harness(사용자-통제)
2026-07-29T13:30:27.443Z | supervisor-guard | open-gate | Bash 통과 (flag age 53m)
2026-07-29T13:30:36.086Z | supervisor-guard | open-gate | Bash 통과 (flag age 53m)
2026-07-29T13:30:37.457Z | circuit-breaker | notify | 누적 체크포인트 main 100회/60분 (단위 100)
2026-07-29T13:30:42.998Z | supervisor-guard | open-gate | Bash 통과 (flag age 53m)
2026-07-29T13:30:43.025Z | dangerous-cmd-guard | ask | 비가역 사람 게이트(CORE-06 v3) — git push (원격 이력 갱신 — 비가역)
2026-07-29T13:31:44.191Z | supervisor-guard | open-gate | Bash 통과 (flag age 54m)
2026-07-29T13:31:44.210Z | dangerous-cmd-guard | ask | 비가역 사람 게이트(CORE-06 v3) — gh pr merge (PR 머지 — 비가역)
2026-07-29T13:32:29.686Z | supervisor-guard | open-gate | Bash 통과 (flag age 55m)
2026-07-29T13:32:41.598Z | supervisor-guard | open-gate | Bash 통과 (flag age 55m)
2026-07-29T13:32:51.984Z | circuit-breaker | notify | 누적 체크포인트 main 100회/60분 (단위 100)
2026-07-29T13:32:54.999Z | supervisor-guard | open-gate | Bash 통과 (flag age 55m)
2026-07-29T13:36:19.896Z | risk-detector | notify | current-pin.txt → 깃발 harness(사용자-통제)
2026-07-29T13:38:39.608Z | risk-detector | notify | current-pin.txt → 깃발 harness(사용자-통제)
2026-07-29T14:04:03.629Z | supervisor-guard | block | 하네스 또는 다른 엔진 runtime에 대한 shell 우회 쓰기 — 봉인 중
2026-07-29T14:04:13.859Z | supervisor-guard | block | 하네스 또는 다른 엔진 runtime에 대한 shell 우회 쓰기 — 봉인 중
2026-07-29T14:04:23.021Z | supervisor-guard | block | 하네스 또는 다른 엔진 runtime에 대한 shell 우회 쓰기 — 봉인 중
2026-07-29T14:05:29.362Z | circuit-breaker | notify | 누적 체크포인트 Explore 100회/60분 (단위 100)
2026-07-29T14:21:49.658Z | risk-detector | notify | enchanted-conjuring-fiddle.md → 깃발 harness(사용자-통제)
2026-07-29T14:38:24.420Z | risk-detector | notify | enchanted-conjuring-fiddle.md → 깃발 harness(사용자-통제)
2026-07-29T14:40:23.847Z | risk-detector | notify | enchanted-conjuring-fiddle.md → 깃발 harness(사용자-통제)
2026-07-29T14:40:26.224Z | risk-detector | notify | enchanted-conjuring-fiddle.md → 깃발 harness(사용자-통제)
2026-07-29T14:40:28.009Z | risk-detector | notify | enchanted-conjuring-fiddle.md → 깃발 harness(사용자-통제)
2026-07-29T14:47:30.005Z | supervisor-guard | block | 하네스 또는 다른 엔진 runtime에 대한 shell 우회 쓰기 — 봉인 중
2026-07-29T14:55:23.789Z | circuit-breaker | notify | Write 10회/5분 (임계 10)
2026-07-29T14:55:43.923Z | circuit-breaker | notify | Write 11회/5분 (임계 10)
2026-07-29T15:04:12.983Z | risk-detector | notify | current-pin.txt → 깃발 harness(사용자-통제)
2026-07-29T15:06:14.805Z | circuit-breaker | notify | Edit 10회/5분 (임계 10)
2026-07-29T15:06:17.415Z | circuit-breaker | notify | Edit 11회/5분 (임계 10)
2026-07-29T15:06:20.788Z | circuit-breaker | notify | Edit 12회/5분 (임계 10)
2026-07-31T08:54:48.933Z | risk-detector | notify | current-pin.txt → 깃발 harness(사용자-통제)
2026-07-31T08:55:11.303Z | supervisor-guard | block | git add
